# Quantum-Optic: Experiments with single photons
# Experiment: Entangled at a polarized 50% beam splitter
# measure from 25.04.2008 14:05
# measurement time for each data point: 10s
# Lab-user: P. Bronner
 



# With entanglement

# angle A; angle B; ATBT; ARBR; ATBR; ARBT; time
22,5;	22,5;	1023,0;	1163,0;	1146,0;	1131,0;	10,0
22,5;	22,5;	991,0;	1176,0;	1085,0;	1087,0;	10,0
22,5;	22,5;	1069,0;	1105,0;	1146,0;	1160,0;	10,0
22,5;	22,5;	1070,0;	1175,0;	1211,0;	1179,0;	10,0
22,5;	22,5;	1033,0;	1259,0;	1058,0;	1231,0;	10,0
22,5;	22,5;	1034,0;	1194,0;	1205,0;	1193,0;	10,0
22,5;	22,5;	1033,0;	1160,0;	1143,0;	1131,0;	10,0
22,5;	22,5;	994,0;	1168,0;	1147,0;	1154,0;	10,0
22,5;	22,5;	1104,0;	1151,0;	1142,0;	1156,0;	10,0
22,5;	22,5;	1023,0;	1157,0;	1109,0;	1115,0;	10,0
22,5;	22,5;	990,0;	1156,0;	1197,0;	1189,0;	10,0
22,5;	22,5;	1006,0;	1180,0;	1220,0;	1164,0;	10,0
22,5;	22,5;	1014,0;	1248,0;	1170,0;	1123,0;	10,0
22,5;	22,5;	1039,0;	1183,0;	1172,0;	1119,0;	10,0
22,5;	22,5;	1037,0;	1220,0;	1206,0;	1109,0;	10,0
22,5;	22,5;	1043,0;	1165,0;	1145,0;	1182,0;	10,0
22,5;	22,5;	977,0;	1174,0;	1141,0;	1146,0;	10,0
22,5;	22,5;	981,0;	1171,0;	1196,0;	1165,0;	10,0
22,5;	22,5;	1063,0;	1213,0;	1104,0;	1180,0;	10,0
22,5;	22,5;	996,0;	1198,0;	1227,0;	1099,0;	10,0
22,5;	22,5;	1054,0;	1200,0;	1169,0;	1120,0;	10,0
22,5;	22,5;	1038,0;	1192,0;	1116,0;	1163,0;	10,0
22,5;	22,5;	988,0;	1164,0;	1115,0;	1131,0;	10,0
22,5;	22,5;	1003,0;	1195,0;	1161,0;	1174,0;	10,0
22,5;	22,5;	995,0;	1156,0;	1246,0;	1120,0;	10,0
22,5;	22,5;	1012,0;	1163,0;	1115,0;	1155,0;	10,0
22,5;	22,5;	965,0;	1157,0;	1142,0;	1184,0;	10,0
