# Quantenoptiklabor: Experiment Hong-Ou-Mandel dip
# Messung vom 27.06.2008, 13:39 Uhr
# Aufnahme von 280 Schritten in 1ym Abstand (optischer Weg = 2ym)
# Messung: 10 mal für 10s
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Wegposition [mm]; 	Detektor 1;	Stabw D1; 	Detektor 2;	Stabw D2; 	Koinzidenzen; 	Stabw Koinz




27,98096    ;   114000,40000    ;   441,67892    ;   110558,60000    ;   376,73929    ;   2446,80000    ;   54,80430
27,98197    ;   114268,40000    ;   285,87923    ;   110819,10000    ;   413,90376    ;   2468,70000    ;   66,15311
27,98295    ;   114172,40000    ;   458,91665    ;   110890,60000    ;   504,54759    ;   2457,60000    ;   49,69954
27,98397    ;   114299,50000    ;   410,85311    ;   110623,20000    ;   358,76015    ;   2482,20000    ;   28,25597
27,98499    ;   114191,50000    ;   365,74741    ;   110671,50000    ;   281,25325    ;   2495,70000    ;   48,96949
27,98596    ;   114357,40000    ;   220,01879    ;   110710,20000    ;   258,07096    ;   2467,70000    ;   37,35728
27,98694    ;   114443,90000    ;   298,75834    ;   110787,10000    ;   325,58953    ;   2484,90000    ;   43,91773
27,98796    ;   114512,10000    ;   245,20715    ;   110934,30000    ;   303,70894    ;   2479,20000    ;   36,97386
27,98893    ;   114563,60000    ;   320,17190    ;   111030,20000    ;   316,79359    ;   2453,40000    ;   39,31129
27,98995    ;   114475,90000    ;   256,29863    ;   110881,20000    ;   360,21068    ;   2477,30000    ;   46,84502
27,99097    ;   114358,00000    ;   406,48083    ;   111034,30000    ;   455,30333    ;   2477,20000    ;   46,30527
27,99194    ;   114654,60000    ;   331,44069    ;   111113,20000    ;   240,05962    ;   2478,60000    ;   55,03373
27,99296    ;   114743,20000    ;   280,42341    ;   111167,40000    ;   290,08857    ;   2458,30000    ;   48,37366
27,99394    ;   114737,70000    ;   234,22688    ;   111426,00000    ;   401,89634    ;   2473,30000    ;   64,48437
27,99496    ;   114786,60000    ;   449,31583    ;   111201,60000    ;   391,86766    ;   2476,20000    ;   34,83230
27,99593    ;   114561,70000    ;   398,99765    ;   111208,90000    ;   403,36651    ;   2488,80000    ;   43,73608
27,99695    ;   114816,50000    ;   418,16032    ;   111294,40000    ;   233,50765    ;   2490,80000    ;   64,65429
27,99796    ;   114848,70000    ;   359,19139    ;   111130,90000    ;   218,12863    ;   2447,30000    ;   73,72630
27,99894    ;   114751,50000    ;   420,88089    ;   111243,90000    ;   304,78862    ;   2453,20000    ;   49,27203
27,99996    ;   114918,50000    ;   346,04985    ;   111465,70000    ;   201,30908    ;   2471,20000    ;   47,75353
28,00094    ;   114921,40000    ;   571,45996    ;   111359,40000    ;   282,72609    ;   2466,30000    ;   43,20507
28,00195    ;   114899,40000    ;   276,93128    ;   111367,30000    ;   174,40824    ;   2461,60000    ;   51,47211
28,00297    ;   115088,80000    ;   384,61057    ;   111631,70000    ;   133,78179    ;   2486,00000    ;   45,18358
28,00395    ;   115141,10000    ;   371,24758    ;   111373,10000    ;   427,88458    ;   2465,90000    ;   80,24746
28,00492    ;   114908,10000    ;   270,93109    ;   111357,00000    ;   193,48328    ;   2454,80000    ;   51,41293
28,00594    ;   114878,00000    ;   316,08438    ;   111289,90000    ;   246,93699    ;   2446,10000    ;   30,55214
28,00696    ;   115058,60000    ;   276,62658    ;   111598,60000    ;   268,78914    ;   2455,10000    ;   49,63970
28,00793    ;   115171,50000    ;   348,48346    ;   111482,50000    ;   175,49311    ;   2443,40000    ;   19,15550
28,00895    ;   115070,40000    ;   226,27721    ;   111398,80000    ;   221,56404    ;   2442,20000    ;   47,96480
28,00993    ;   115074,10000    ;   371,55064    ;   111679,80000    ;   390,25456    ;   2428,70000    ;   31,09502
28,01095    ;   115095,30000    ;   292,87770    ;   111688,60000    ;   253,16012    ;   2407,00000    ;   36,31651
28,01192    ;   115229,50000    ;   410,78144    ;   111721,00000    ;   303,36630    ;   2416,00000    ;   64,30483
28,01294    ;   115092,70000    ;   439,91364    ;   111464,80000    ;   308,33596    ;   2386,40000    ;   39,21791
28,01396    ;   115022,60000    ;   456,96102    ;   111381,90000    ;   315,64764    ;   2360,90000    ;   46,98806
28,01493    ;   115279,30000    ;   217,17635    ;   111573,80000    ;   215,55860    ;   2351,10000    ;   54,36390
28,01599    ;   115571,10000    ;   130,27957    ;   111640,00000    ;   267,80548    ;   2353,50000    ;   43,36473
28,01689    ;   115264,70000    ;   362,39728    ;   111578,00000    ;   434,92119    ;   2340,30000    ;   34,21842
28,01794    ;   115159,10000    ;   260,34227    ;   111396,60000    ;   220,14147    ;   2313,10000    ;   39,50373
28,01892    ;   115382,60000    ;   288,94913    ;   111420,30000    ;   326,33795    ;   2240,30000    ;   55,58187
28,01994    ;   115587,90000    ;   401,54990    ;   111444,00000    ;   397,46698    ;   2243,90000    ;   53,52559
28,02091    ;   115261,60000    ;   447,63383    ;   111711,70000    ;   424,50966    ;   2200,30000    ;   51,26196
28,02193    ;   115279,10000    ;   376,25123    ;   111476,70000    ;   360,93153    ;   2135,70000    ;   44,66182
28,02295    ;   115348,70000    ;   369,90361    ;   111422,90000    ;   367,18341    ;   2096,00000    ;   29,19665
28,02393    ;   115271,10000    ;   322,35331    ;   111476,50000    ;   228,85524    ;   2025,70000    ;   44,52228
28,02494    ;   115275,00000    ;   384,46442    ;   111500,70000    ;   471,24234    ;   1972,60000    ;   48,44516
28,02592    ;   115113,80000    ;   308,37308    ;   111414,40000    ;   393,07596    ;   1873,30000    ;   52,62878
28,02694    ;   114949,40000    ;   335,35461    ;   111392,80000    ;   210,12896    ;   1729,30000    ;   46,00254
28,02791    ;   115085,50000    ;   339,92916    ;   111385,00000    ;   333,74308    ;   1651,20000    ;   56,15020
