# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

1297	29584,0	147,2	2314,6	42,0
1304	29636,2	73,7	2405,9	56,3
1312	29768,8	172,0	2459,8	67,6
1319	30043,7	164,0	2609,0	68,5
1326	30039,0	212,5	2637,8	46,9
1333	30219,2	153,2	2751,9	60,7
1342	30378,4	236,1	2805,6	35,1
1348	30291,3	217,6	2842,4	63,0
1356	30314,8	90,1	2860,3	30,1
1363	30277,4	104,8	2890,9	48,6
1371	30466,3	215,2	2926,3	49,7
1378	30458,0	124,8	2858,8	36,8
1385	30451,1	191,2	2888,1	39,8
1393	30271,6	101,3	2835,9	43,8
1401	30351,2	220,6	2848,3	55,0
1408	30233,0	119,2	2802,3	72,1
1415	30101,0	166,0	2702,5	72,0
1422	30072,9	177,3	2644,2	97,8
1430	29907,9	124,0	2564,2	44,3
1437	29738,7	199,5	2428,5	61,5
1445	29736,8	219,1	2421,6	52,7
1452	29587,1	196,2	2306,0	56,3
1460	29442,9	159,9	2258,8	67,2
1467	29315,5	197,4	2127,5	51,2
1475	29269,2	176,5	2023,6	61,9
1483	28956,7	132,4	1907,1	43,9
1490	28750,0	115,7	1744,9	73,9
1498	28516,8	200,5	1603,4	100,7
1505	28489,0	171,4	1576,2	29,6
1513	28397,4	290,6	1473,1	44,1
1520	28335,2	249,2	1394,3	67,5
1527	28084,2	199,5	1257,8	38,1
1535	27963,5	196,8	1163,5	42,7
1543	27861,0	168,6	1094,4	51,5
1550	27759,5	224,1	1058,3	44,5
1558	27757,1	156,2	1003,1	26,3
1565	27537,6	171,1	932,6	35,8
1573	27621,5	117,0	923,5	28,9
1581	27661,0	211,0	919,2	49,2
1588	27656,0	172,9	895,1	28,7
1596	27649,6	162,3	917,4	20,6
1603	27685,7	180,0	928,4	37,6
1610	27842,9	133,5	956,5	44,8
1618	28005,0	138,6	1005,6	32,0
1625	28054,3	181,4	1088,6	59,2
1633	28209,5	176,8	1120,2	46,5
1641	28165,0	204,9	1153,6	51,6
1648	28467,7	205,2	1314,7	82,4
1657	28567,4	122,1	1396,0	49,2
1664	28824,0	162,8	1489,2	41,0
1672	28826,1	139,9	1602,1	69,1
1679	29222,2	236,4	1751,9	57,2
1687	29181,9	164,1	1733,5	94,4
1695	29461,8	201,8	1926,4	84,6
1703	29735,5	215,7	2009,4	73,4
1710	29793,1	163,1	2170,9	59,0
1718	30020,0	251,3	2246,2	61,7
1726	30160,1	178,6	2376,2	49,9
1734	30293,1	103,9	2462,1	60,9
1741	30345,8	156,8	2595,2	53,9
1749	30397,3	208,3	2605,0	80,0
1756	30566,2	151,0	2729,3	69,2
1765	30583,9	111,0	2806,9	36,7
1773	30663,7	122,0	2846,4	45,6
1780	30625,5	155,4	2902,4	63,4
1788	30660,3	161,6	2918,5	54,5
1795	30627,2	218,0	2937,2	43,5
1804	30495,7	218,2	2927,8	53,1
1812	30560,9	180,3	2935,5	55,7
1819	30276,6	114,5	2872,0	64,8
1827	30216,9	173,1	2854,5	62,6
1835	30105,4	150,5	2793,0	39,2
1843	29835,6	91,3	2715,3	43,0
1850	29843,0	230,1	2667,2	58,9
1858	29701,9	205,5	2588,5	58,5
1866	29488,7	85,0	2458,7	52,9
1874	29339,7	184,0	2400,3	52,8
1881	29142,9	224,2	2267,7	70,9
1889	28913,2	104,4	2180,6	45,3
1898	28734,8	218,6	2051,0	63,6
1906	28497,6	214,3	1928,0	55,4
1913	28347,1	233,4	1782,9	59,6
1921	28128,9	119,5	1644,1	77,7
1929	27850,4	238,8	1513,0	50,6
1936	27819,1	125,4	1423,8	33,8
1945	27753,6	153,5	1342,1	41,6
1953	27576,5	145,9	1265,4	36,1
1961	27428,7	238,2	1122,2	39,9
1969	27385,3	138,7	1056,3	39,3
1977	27425,6	192,1	1014,6	39,6
1984	27521,5	217,4	951,6	41,0
1993	27431,8	151,5	910,1	27,3
2000	27401,9	210,5	884,6	34,5
2009	27601,8	193,6	871,2	31,0
2016	27534,5	194,2	866,2	32,7
2024	27654,1	218,8	879,9	38,5
2032	27781,4	147,8	901,7	39,9
2040	27996,6	228,8	959,8	40,4
2049	28151,3	171,7	1018,3	47,8
2057	28287,7	195,5	1050,1	36,3
